experimental experimental experimental ip ip ip
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 1 0 0
0 0 1 2 0 0
0 0 1 2 0 0
0 0 1 2 0 0
0 0 1 2 0 0
0 0 1 2 0 0
0 0 1 2 0 0
0 0 1 1 0 0
0 0 1 0 0 0
0 0 2 0 0 0
0 0 2 0 0 0
0 0 2 0 0 0
0 0 2 0 0 0
0 0 2 0 0 0
0 0 3 0 0 0
0 0 2 0 0 0
1 0 1 1 0 0
1 0 1 1 0 0
1 0 2 1 1 0
1 0 2 1 1 0
1 0 2 1 1 0
1 0 1 1 1 0
1 0 1 1 1 0
0 0 1 0 1 1
1 1 4 0 2 2
1 2 3 0 1 2
4 4 7 0 3 4
4 4 8 0 3 4
8 6 14 0 6 7
8 6 14 0 6 6
8 6 14 0 6 5
7 5 11 0 5 5
7 4 11 0 5 5
4 2 7 0 3 3
3 0 4 0 2 2
0 0 0 0 1 0
0 0 0 0 1 1
0 1 0 0 1 1
0 1 0 0 1 1
0 1 0 0 1 2
0 1 0 0 2 2
0 1 0 0 2 2
0 1 1 0 1 2
0 0 1 0 1 1
1 0 3 0 1 1
1 0 3 0 1 1
1 0 3 0 1 0
1 0 3 0 1 0
1 0 2 0 2 0
1 0 2 0 2 0
0 0 1 0 2 0
0 0 0 0 2 0
0 0 1 0 1 0
0 0 1 0 1 0
0 0 1 0 2 0
0 0 1 0 1 0
0 0 1 0 2 0
0 0 1 0 2 0
0 0 1 0 2 0
0 0 0 0 2 0
1 0 0 0 2 0
1 0 0 0 1 0
1 0 0 0 1 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 1 0 0 0
0 0 1 0 1 0
0 0 2 0 1 0
0 0 2 0 1 0
0 0 2 0 1 0
0 0 2 0 1 0
1 0 5 0 1 0
1 1 6 0 1 1
2 2 10 0 0 1
3 8 14 0 0 2
4 9 17 0 0 2
4 9 18 0 0 2
3 11 20 0 0 3
4 11 17 0 0 3
3 10 17 0 0 2
3 7 12 0 1 2
2 3 8 0 2 1
2 5 6 0 2 2
3 5 5 0 2 4
3 4 3 0 2 3
2 4 2 0 2 3
2 5 0 0 1 3
1 5 0 1 1 3
1 4 1 1 0 3
1 2 1 2 1 2
0 1 1 3 1 1
0 1 2 3 1 1
0 1 2 3 1 1
0 0 2 2 1 1
0 0 2 2 1 1
0 0 2 1 1 0
0 0 2 0 1 0
0 0 2 0 1 0
0 0 1 0 2 0
1 0 1 0 2 0
1 0 1 0 3 1
1 0 2 0 3 1
1 1 2 0 3 1
1 1 2 0 2 1
1 1 3 0 2 2
1 2 3 0 1 3
0 2 3 0 2 3
0 2 3 0 1 2
0 2 2 0 1 2
0 1 1 0 1 2
0 2 0 0 1 2
0 1 1 0 1 0
1 2 1 0 1 0
1 5 2 0 0 0
2 7 6 0 0 1
2 9 9 0 0 1
3 11 10 0 0 1
5 12 11 0 0 2
4 11 10 0 0 2
5 11 9 0 0 3
5 13 11 1 0 3
5 11 7 1 0 2
7 7 8 1 0 2
7 8 9 1 0 1
13 12 10 1 2 1
16 18 16 1 2 1
16 23 22 0 2 0
21 24 28 0 3 0
23 29 34 1 3 0
19 32 33 1 3 0
18 35 39 1 3 2
14 35 42 1 2 2
14 34 39 1 2 2
14 31 33 1 2 2
10 28 28 0 1 3
12 25 22 0 1 3
13 25 24 0 1 3
13 19 18 0 1 3
12 13 13 0 0 3
10 9 13 0 1 3
8 8 12 0 3 3
6 5 8 0 3 3
3 2 7 0 3 3
1 2 4 0 3 2
0 1 3 0 3 1
0 1 3 1 2 1
0 0 1 1 2 1
0 0 1 1 1 1
0 0 1 2 1 0
0 0 0 3 1 0
0 0 0 4 1 1
0 0 0 4 1 1
0 0 0 3 1 2
0 0 2 3 0 2
0 0 2 2 0 2
0 0 2 2 0 3
0 0 2 1 0 2
0 0 2 0 0 2
0 0 2 0 0 1
0 0 0 0 0 1
0 0 0 0 0 1
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
