control control control control ip ip ip ip
15 19 15 21 8 3 11 6
17 20 23 23 11 6 13 11
19 16 20 17 31 27 28 28
21 14 17 24 26 23 29 25
22 24 19 19 6 12 9 10
22 21 22 13 6 6 9 6
17 18 16 26 7 5 14 6
27 20 26 29 9 6 12 17
21 20 18 27 9 4 10 11
21 20 20 18 11 7 9 14
22 22 18 23 15 12 6 6
13 15 19 21 10 5 8 6
22 16 14 19 11 5 12 7
16 21 19 22 9 8 8 11
16 22 12 21 10 8 12 7
23 20 17 22 25 30 27 32
19 25 12 16 4 13 12 10
9 21 19 22 7 10 11 13
20 22 15 12 15 8 10 11
20 26 22 16 6 13 10 8
12 17 20 21 11 5 13 11
12 16 17 17 9 9 10 8
13 20 30 19 6 13 10 13
18 21 22 15 11 10 11 9
17 21 14 23 14 9 5 14
18 22 21 18 44 26 24 26
20 23 19 22 32 29 19 20
25 14 20 21 25 37 36 40
16 21 21 17 31 28 27 26
23 16 19 19 9 13 11 9
19 26 12 18 15 8 11 13
18 25 12 25 8 9 9 7
26 28 13 19 6 13 10 16
21 22 26 19 3 8 10 10
21 15 26 22 3 9 17 7
23 14 17 26 13 7 12 9
16 22 22 18 5 13 10 7
18 15 18 24 4 12 12 9
22 16 20 17 10 9 9 10
29 16 24 28 12 12 12 13
22 15 22 20 11 9 8 11
17 23 20 25 11 10 9 15
19 32 23 21 7 1 12 9
15 17 18 17 11 10 8 7
21 14 16 15 7 9 11 6
14 19 15 18 10 12 11 10
23 25 15 15 9 17 8 10
22 15 12 12 28 30 22 33
26 13 16 19 11 10 11 6
13 26 22 22 9 9 5 11
15 23 21 17 10 9 8 10
26 21 19 22 12 6 8 10
16 22 10 22 10 9 6 6
18 13 22 18 11 8 9 5
13 21 20 16 5 12 10 8
25 18 18 26 9 7 8 10
27 24 25 16 16 10 9 9
21 19 13 18 9 5 13 10
22 18 20 19 9 12 11 13
21 10 20 15 10 15 15 10
17 19 17 22 9 11 10 5
18 20 21 22 9 10 13 3
17 16 17 26 6 9 8 9
18 14 22 10 12 9 7 9
22 23 27 24 7 4 5 13
19 12 21 20 9 11 10 7
19 24 30 19 4 7 8 11
22 20 26 20 8 5 6 9
20 28 18 14 11 10 8 13
22 18 12 22 9 13 5 10
15 15 19 16 6 11 8 12
14 17 20 20 8 12 5 5
25 22 23 20 10 6 14 5
15 16 18 21 10 12 10 10
20 14 17 17 5 9 8 8
20 17 15 15 12 4 7 18
16 20 16 26 13 16 7 9
21 12 17 22 9 12 7 9
28 26 23 22 6 8 11 2
15 26 19 17 10 5 10 9
15 25 15 13 9 4 8 14
19 18 15 13 9 9 8 10
18 24 17 19 8 8 9 9
21 12 19 16 9 13 9 5
18 25 20 18 8 5 14 11
24 12 33 17 13 7 11 17
24 20 17 27 12 12 11 7
24 12 24 25 9 14 6 11
13 21 24 16 7 17 2 7
18 16 15 16 27 33 37 31
18 14 19 17 28 32 33 28
22 13 15 22 30 30 28 34
23 14 9 19 9 12 7 5
18 23 31 14 28 23 35 36
16 24 20 17 22 32 31 29
23 15 18 18 31 42 28 25
13 18 23 25 24 30 30 19
17 22 18 15 10 14 9 3
17 22 21 24 6 6 7 6
16 20 16 18 6 5 9 7
21 17 26 16 9 2 6 13
20 10 14 27 3 11 13 21
30 19 18 23 10 11 6 11
23 17 26 18 28 28 34 37
15 14 25 22 7 7 6 7
21 18 21 17 5 6 8 5
24 18 15 22 6 7 9 5
18 19 18 22 6 14 12 6
17 15 27 23 6 7 6 8
8 15 15 17 5 9 5 7
21 24 20 20 4 10 12 7
25 24 19 14 11 6 11 6
20 17 20 12 12 12 6 8
23 18 21 26 8 9 7 10
16 22 21 25 6 9 15 10
25 22 19 21 2 9 7 12
16 24 15 16 14 10 8 6
14 18 21 29 6 11 7 7
24 17 22 22 9 10 6 5
24 14 12 22 39 29 25 46
28 23 22 19 26 30 34 40
18 10 23 23 23 35 24 27
21 17 20 25 31 10 27 33
22 17 20 25 36 30 25 37
19 18 14 24 25 26 21 29
17 22 20 23 23 49 34 27
21 14 19 21 23 35 27 26
21 24 23 13 32 30 36 26
29 23 22 19 32 22 38 32
24 17 15 20 33 50 28 35
21 32 25 21 32 34 28 25
21 32 17 14 28 27 31 34
29 11 18 18 13 10 6 13
31 24 27 22 10 6 9 10
21 21 25 21 17 7 10 6
16 14 23 14 6 9 16 7
29 16 22 16 6 15 7 5
23 25 14 14 5 7 8 7
21 25 19 17 4 9 12 10
22 16 20 17 12 6 6 7
25 23 12 14 8 5 11 9
14 24 23 18 8 3 18 6
16 17 18 22 11 8 5 9
15 29 24 24 7 13 7 8
23 14 22 17 7 5 9 8
20 25 18 17 8 7 11 6
18 10 17 25 12 11 11 12
15 21 18 13 7 16 9 13
18 12 23 13 13 7 6 6
18 22 15 23 9 7 15 8
30 24 24 17 10 8 10 8
16 20 19 16 7 9 17 10
15 22 13 16 9 4 6 11
17 19 15 16 7 12 4 8
23 27 24 21 26 26 25 30
12 25 15 18 37 42 31 27
19 18 22 23 26 35 18 25
16 21 26 23 27 38 21 35
24 23 21 15 35 28 39 46
16 16 10 22 5 12 12 11
18 16 28 14 5 8 9 9
13 19 25 18 9 3 6 7
